flights_per_year ; car_km_per_week ; meat_kg_per_week ; electricity_kwh_month ; waste_kg_week ; co2_tons_per_year
4 ; 140 ; 3.6 ; 510 ; 11.2 ; 14.50
1 ; 180 ; 1.7 ; 320 ; 7.3 ; 8.30
2 ; 200 ; 2.9 ; 400 ; 9.1 ; 11.00
0 ; 70 ; 0.9 ; 260 ; 5.4 ; 5.10
3 ; 170 ; 3.1 ; 470 ; 9.5 ; 12.60
1 ; 150 ; 1.4 ; 310 ; 6.9 ; 7.95
2 ; 190 ; 2.6 ; 390 ; 8.4 ; 10.70
0 ; 65 ; 0.8 ; 240 ; 5.2 ; 4.85
4 ; 130 ; 3.7 ; 520 ; 11.5 ; 14.80
1 ; 140 ; 1.5 ; 300 ; 7.0 ; 8.00
2 ; 210 ; 2.8 ; 410 ; 8.8 ; 10.90
0 ; 50 ; 0.5 ; 230 ; 4.6 ; 3.95
3 ; 180 ; 3.4 ; 480 ; 10.2 ; 13.10
1 ; 160 ; 1.6 ; 320 ; 7.5 ; 8.45
2 ; 170 ; 2.0 ; 370 ; 8.0 ; 9.55
0 ; 55 ; 0.7 ; 250 ; 5.1 ; 4.50
3 ; 140 ; 3.0 ; 460 ; 9.7 ; 12.40
2 ; 190 ; 2.3 ; 390 ; 8.2 ; 10.15
1 ; 110 ; 1.1 ; 280 ; 6.5 ; 6.50
0 ; 40 ; 0.4 ; 220 ; 4.1 ; 3.30
3 ; 150 ; 3.2 ; 470 ; 9.6 ; 12.70
2 ; 170 ; 2.6 ; 360 ; 7.8 ; 9.95
1 ; 200 ; 1.5 ; 340 ; 7.2 ; 8.20
0 ; 65 ; 0.7 ; 240 ; 5.3 ; 4.75
4 ; 140 ; 3.8 ; 520 ; 11.3 ; 14.60
2 ; 180 ; 2.9 ; 380 ; 8.5 ; 10.80
1 ; 160 ; 1.4 ; 310 ; 6.8 ; 7.85
3 ; 190 ; 3.1 ; 490 ; 9.9 ; 13.00
0 ; 50 ; 0.5 ; 230 ; 4.5 ; 4.00
2 ; 210 ; 2.7 ; 410 ; 8.7 ; 11.00
1 ; 130 ; 1.3 ; 290 ; 6.3 ; 7.20
4 ; 150 ; 3.5 ; 510 ; 10.7 ; 13.90
2 ; 170 ; 2.0 ; 370 ; 7.7 ; 9.40
0 ; 60 ; 0.6 ; 250 ; 5.0 ; 4.25
3 ; 140 ; 3.3 ; 460 ; 9.4 ; 12.30
1 ; 180 ; 1.7 ; 320 ; 7.1 ; 8.35
2 ; 200 ; 2.5 ; 400 ; 8.9 ; 10.75
0 ; 55 ; 0.8 ; 240 ; 5.1 ; 4.90
3 ; 130 ; 3.6 ; 480 ; 10.1 ; 13.40
1 ; 160 ; 1.6 ; 310 ; 7.4 ; 8.55
2 ; 190 ; 2.1 ; 390 ; 8.3 ; 9.90
0 ; 70 ; 0.9 ; 260 ; 5.5 ; 5.15
4 ; 170 ; 3.7 ; 520 ; 11.2 ; 14.70
1 ; 150 ; 1.4 ; 300 ; 6.9 ; 7.90
2 ; 210 ; 2.8 ; 410 ; 8.6 ; 10.85
0 ; 45 ; 0.5 ; 230 ; 4.7 ; 3.90
3 ; 180 ; 3.4 ; 470 ; 10.0 ; 13.15
1 ; 160 ; 1.5 ; 320 ; 7.3 ; 8.25
2 ; 170 ; 2.2 ; 370 ; 8.0 ; 9.60
0 ; 50 ; 0.7 ; 250 ; 5.2 ; 4.60
3 ; 140 ; 3.0 ; 460 ; 9.5 ; 12.45
